ProductType;RuleName;ESAProductType
S3_MW_1_SLC_AX;S3_AX;MW_1_SLC_AX
S3_MW___CHDNAX;S3_AX;MW___CHDNAX
S3_MW___CHDRAX;S3_AX;MW___CHDRAX
S3_MW___STD_AX;S3_AX;MW___STD_AX
S3_MW_1_MON_AX;S3_AX;MW_1_MON_AX
S3_OL_0_CR0___;S3_L0;OL_0_CR0___
S3_OL_0_CR1___;S3_L0;OL_0_CR1___
S3_OL_0_EFR___;S3_L0;OL_0_EFR___
S3_OL_1_CAL_AX;S3_AX;OL_1_CAL_AX
S3_OL_1_CLUTAX;S3_AX;OL_1_CLUTAX
S3_OL_1_EFR___;S3_OL;OL_1_EFR___
S3_OL_1_EO__AX;S3_AX;OL_1_EO__AX
S3_OL_1_ERR___;S3_OL;OL_1_ERR___
S3_OL_1_INS_AX;S3_AX;OL_1_INS_AX
S3_OL_1_MCHDAX;S3_AX;OL_1_MCHDAX
S3_OL_1_PRG_AX;S3_AX;OL_1_PRG_AX
S3_OL_1_RAC_AX;S3_AX;OL_1_RAC_AX
S3_OL_1_RAC___;S3_OL;OL_1_RAC___
S3_OL_1_SPC_AX;S3_AX;OL_1_SPC_AX
S3_OL_2_ACP_AX;S3_AX;OL_2_ACP_AX
S3_OL_2_CLP_AX;S3_AX;OL_2_CLP_AX
S3_OL_2_LFR___;S3_OL;OL_2_LFR___
S3_OL_2_LRR___;S3_OL;OL_2_LRR___
S3_OL_2_OCP_AX;S3_AX;OL_2_OCP_AX
S3_OL_2_PCP_AX;S3_AX;OL_2_PCP_AX
S3_OL_2_PPP_AX;S3_AX;OL_2_PPP_AX
S3_OL_2_VGP_AX;S3_AX;OL_2_VGP_AX
S3_OL_2_WVP_AX;S3_AX;OL_2_WVP_AX
S3_SL_0_SLT___;S3_L0;SL_0_SLT___
S3_SL_1_ADJ_AX;S3_AX;SL_1_ADJ_AX
S3_SL_1_ANC_AX;S3_AX;SL_1_ANC_AX
S3_SL_1_CDP_AX;S3_AX;SL_1_CDP_AX
S3_SL_1_CLO_AX;S3_AX;SL_1_CLO_AX
S3_SL_1_CLP_AX;S3_AX;SL_1_CLP_AX
S3_SL_1_ESSTAX;S3_AX;SL_1_ESSTAX
S3_SL_1_GEC_AX;S3_AX;SL_1_GEC_AX
S3_SL_1_GEO_AX;S3_AX;SL_1_GEO_AX
S3_SL_1_IRE_AX;S3_AX;SL_1_IRE_AX
S3_SL_1_LCC_AX;S3_AX;SL_1_LCC_AX
S3_SL_1_MCHDAX;S3_AX;SL_1_MCHDAX
S3_SL_1_NAS4AX;S3_AX;SL_1_NAS4AX
S3_SL_1_NAS5AX;S3_AX;SL_1_NAS5AX
S3_SL_1_NAS6AX;S3_AX;SL_1_NAS6AX
S3_SL_1_NBS4AX;S3_AX;SL_1_NBS4AX
S3_SL_1_NBS5AX;S3_AX;SL_1_NBS5AX
S3_SL_1_NBS6AX;S3_AX;SL_1_NBS6AX
S3_SL_1_N_F1AX;S3_AX;SL_1_N_F1AX
